epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4007,0.59904,1.0457,0.85223,0.63395,0.72843,0.67022,0.53773,0.70708,1.3089,0.90059,0.000551581,0.000551581,0.000551581
2,58.7071,0.80393,1.15828,0.88985,0.61331,0.66092,0.5744,0.45012,0.80462,1.49067,0.91024,0.000888013,0.000888013,0.000888013
3,87.9493,0.82598,1.33225,0.89123,0.60646,0.64052,0.61833,0.47099,0.86447,1.24849,0.9352,0.0010044,0.0010044,0.0010044
4,117.127,0.81597,1.34491,0.9071,0.54663,0.76197,0.65334,0.51371,0.75245,1.17304,0.90578,0.000676802,0.000676802,0.000676802
5,145.823,0.85611,1.31429,0.93978,0.55736,0.69187,0.6375,0.51527,0.7128,1.1879,0.89631,0.000346736,0.000346736,0.000346736
