epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1677,0.68536,1.33896,0.84817,0.64075,0.73122,0.76058,0.59883,0.70668,1.16823,0.87576,0.000551581,0.000551581,0.000551581
2,43.268,0.79877,1.47555,0.88923,0.63797,0.77927,0.72239,0.55514,0.80104,1.24227,0.89447,0.00099763,0.00099763,0.00099763
3,63.8078,0.82776,1.56922,0.88278,0.47661,0.65401,0.65388,0.52044,0.73844,1.37629,0.88928,0.00133366,0.00133366,0.00133366
4,84.3485,0.79206,1.45993,0.8975,0.68552,0.67046,0.73206,0.57318,0.73033,1.11743,0.89091,0.0011719,0.0011719,0.0011719
5,104.649,0.83535,1.51811,0.88932,0.49673,0.72707,0.64235,0.49553,0.77201,1.4274,0.89549,0.00100687,0.00100687,0.00100687
6,125.163,0.77208,1.4186,0.86918,0.53332,0.71182,0.64895,0.51415,0.70005,1.10601,0.87435,0.000841835,0.000841835,0.000841835
7,145.392,0.79746,1.36837,0.87521,0.57026,0.77272,0.68062,0.5457,0.71836,1.12844,0.88196,0.000676802,0.000676802,0.000676802
8,166.689,0.72888,1.28024,0.8788,0.54387,0.7764,0.70397,0.56899,0.68238,1.10168,0.87686,0.000511769,0.000511769,0.000511769
9,187.309,0.7755,1.29074,0.87917,0.54979,0.78113,0.71602,0.58011,0.67666,1.10069,0.87462,0.000346736,0.000346736,0.000346736
10,209.278,0.7134,1.22539,0.88503,0.56686,0.80559,0.71826,0.58447,0.67799,1.0625,0.87335,0.000181703,0.000181703,0.000181703
