epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0345,0.51893,0.83235,0.79933,0.63559,0.7466,0.68277,0.53218,0.68708,0.99125,0.84298,0.000551581,0.000551581,0.000551581
2,58.3299,0.70324,1.30592,0.83919,0.58702,0.71333,0.6396,0.48634,0.7195,1.62847,0.85362,0.000888013,0.000888013,0.000888013
3,87.6207,0.7674,1.65556,0.88191,0.56245,0.78734,0.65861,0.4917,0.74377,1.35067,0.86235,0.0010044,0.0010044,0.0010044
4,115.737,0.81214,1.56026,0.9021,0.5076,0.65239,0.61193,0.47533,0.70729,1.34005,0.85508,0.000676802,0.000676802,0.000676802
5,144.148,0.80733,1.48669,0.90965,0.56341,0.72345,0.64198,0.50633,0.67744,1.10626,0.84587,0.000346736,0.000346736,0.000346736
