epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0744,0.72814,1.44841,0.85516,0.63832,0.74001,0.75484,0.60039,0.67537,1.10895,0.86513,0.000551581,0.000551581,0.000551581
2,42.7365,0.78379,1.56609,0.89313,0.61839,0.7914,0.70985,0.55307,0.73612,1.33042,0.89026,0.00099763,0.00099763,0.00099763
3,63.8205,0.81506,1.60998,0.89624,0.54246,0.73624,0.70442,0.5583,0.726,1.18203,0.89038,0.00133366,0.00133366,0.00133366
4,85.0195,0.78648,1.45988,0.90273,0.61306,0.72009,0.704,0.55319,0.75594,1.1814,0.89865,0.0011719,0.0011719,0.0011719
5,105.991,0.83304,1.58783,0.88884,0.59346,0.71677,0.69795,0.55003,0.75392,1.15651,0.89517,0.00100687,0.00100687,0.00100687
6,127.384,0.78852,1.39963,0.8817,0.60829,0.75602,0.72348,0.57745,0.70583,1.08456,0.88511,0.000841835,0.000841835,0.000841835
7,148.93,0.78967,1.40681,0.88244,0.63326,0.72358,0.6873,0.54319,0.72851,1.12957,0.88791,0.000676802,0.000676802,0.000676802
8,170.229,0.72698,1.2998,0.87903,0.56682,0.81798,0.69215,0.55499,0.6801,1.04993,0.87648,0.000511769,0.000511769,0.000511769
9,192.312,0.7837,1.3132,0.87784,0.56867,0.82067,0.70356,0.56355,0.67604,1.05297,0.87627,0.000346736,0.000346736,0.000346736
10,214.168,0.70273,1.28057,0.88919,0.55875,0.83009,0.72367,0.57943,0.66737,1.04577,0.87431,0.000181703,0.000181703,0.000181703
