epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1101,0.73494,1.47716,0.87535,0.74997,0.66228,0.76084,0.62612,0.69356,1.08176,0.89551,0.000551581,0.000551581,0.000551581
2,60.391,0.80724,1.51074,0.90396,0.63098,0.679,0.71924,0.57408,0.73079,1.222,0.91384,0.00099763,0.00099763,0.00099763
3,89.1777,0.81283,1.6076,0.90099,0.58764,0.74748,0.72274,0.58245,0.73597,1.218,0.91403,0.00133366,0.00133366,0.00133366
4,117.435,0.78092,1.4117,0.90931,0.60623,0.75701,0.72244,0.56762,0.76685,1.18665,0.91118,0.0011719,0.0011719,0.0011719
5,145.733,0.86702,1.5763,0.91611,0.63799,0.68451,0.74737,0.58336,0.77745,1.24964,0.93299,0.00100687,0.00100687,0.00100687
6,175.8,0.80703,1.42681,0.91411,0.5676,0.75084,0.71208,0.56411,0.74831,1.17934,0.92068,0.000841835,0.000841835,0.000841835
7,204.867,0.77727,1.48108,0.8694,0.62033,0.73711,0.70003,0.55851,0.75771,1.21027,0.9181,0.000676802,0.000676802,0.000676802
8,233.866,0.72847,1.30743,0.88775,0.63644,0.73443,0.71279,0.57603,0.73631,1.08831,0.90877,0.000511769,0.000511769,0.000511769
9,263.808,0.76406,1.27975,0.88563,0.59198,0.76106,0.69857,0.56631,0.73919,1.07675,0.91706,0.000346736,0.000346736,0.000346736
10,292.966,0.72534,1.22992,0.8879,0.63242,0.7703,0.701,0.57562,0.70824,1.069,0.90179,0.000181703,0.000181703,0.000181703
