epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.56,0.79958,1.76003,0.8828,0.64895,0.77407,0.72003,0.54969,0.77597,1.39365,0.88038,0.000551581,0.000551581,0.000551581
2,42.4674,0.82764,1.66336,0.90791,0.6896,0.59425,0.70058,0.53144,0.74226,1.26104,0.8972,0.000888013,0.000888013,0.000888013
3,63.6897,0.87841,1.52545,0.94481,0.56494,0.66215,0.69379,0.54243,0.71852,1.2676,0.88111,0.0010044,0.0010044,0.0010044
4,84.4522,0.8458,1.62595,0.92459,0.64697,0.76625,0.74139,0.58033,0.71366,1.09112,0.87299,0.000676802,0.000676802,0.000676802
5,105.344,0.84324,1.57749,0.90849,0.5811,0.76049,0.72829,0.5708,0.6963,1.09701,0.87122,0.000346736,0.000346736,0.000346736
