epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2322,0.66072,1.20419,0.87032,0.64731,0.81597,0.76978,0.64135,0.67556,1.02538,0.91086,0.000551581,0.000551581,0.000551581
2,60.4176,0.78989,1.33431,0.90918,0.69202,0.6073,0.72061,0.58111,0.77344,1.11826,0.94634,0.00099763,0.00099763,0.00099763
3,89.199,0.81108,1.31639,0.9,0.68288,0.71919,0.7073,0.57616,0.73005,1.15226,0.92193,0.00133366,0.00133366,0.00133366
4,117.516,0.76274,1.24914,0.90239,0.65894,0.76169,0.73867,0.59646,0.77866,1.07806,0.94275,0.0011719,0.0011719,0.0011719
5,146.931,0.83083,1.27418,0.91012,0.57181,0.71695,0.71592,0.5811,0.73374,1.08037,0.93863,0.00100687,0.00100687,0.00100687
6,177.583,0.76225,1.1954,0.89482,0.66489,0.74132,0.73714,0.59516,0.72699,1.06191,0.92578,0.000841835,0.000841835,0.000841835
7,207.274,0.76171,1.23456,0.86521,0.7055,0.7472,0.7428,0.60371,0.73241,1.03567,0.92033,0.000676802,0.000676802,0.000676802
8,237.052,0.71166,1.10105,0.88053,0.70995,0.73907,0.73396,0.61082,0.70318,1.03756,0.91429,0.000511769,0.000511769,0.000511769
9,266.524,0.74417,1.12679,0.87594,0.6952,0.7297,0.724,0.59255,0.7161,1.04064,0.91996,0.000346736,0.000346736,0.000346736
10,296.864,0.72184,1.07605,0.88647,0.64307,0.73305,0.71701,0.5954,0.69284,1.03561,0.90847,0.000181703,0.000181703,0.000181703
