epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9504,0.65847,1.22424,0.86805,0.70104,0.73403,0.75265,0.59761,0.7396,1.10774,0.89625,0.000551581,0.000551581,0.000551581
2,58.7563,0.83857,1.38211,0.90421,0.6771,0.66372,0.66025,0.52504,0.74555,1.51267,0.89162,0.000888013,0.000888013,0.000888013
3,87.3056,0.84141,1.67484,0.88573,0.66858,0.54817,0.62082,0.48111,0.80447,1.41836,0.91921,0.0010044,0.0010044,0.0010044
4,114.968,0.85475,1.5886,0.91531,0.60562,0.72563,0.67849,0.54338,0.73804,1.24066,0.91243,0.000676802,0.000676802,0.000676802
5,142.526,0.8535,1.51081,0.93733,0.6111,0.73319,0.70911,0.57593,0.70738,1.10248,0.9004,0.000346736,0.000346736,0.000346736
