epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7951,0.62304,1.0857,0.86056,0.66367,0.79692,0.74787,0.61681,0.69555,1.04658,0.91137,0.000551581,0.000551581,0.000551581
2,61.4524,0.80386,1.32612,0.9135,0.51591,0.7,0.64581,0.52236,0.76365,1.25089,0.93086,0.00099763,0.00099763,0.00099763
3,92.409,0.79597,1.3802,0.89913,0.69245,0.66206,0.65017,0.51391,0.76108,1.2178,0.93498,0.00133366,0.00133366,0.00133366
4,120.923,0.75739,1.23419,0.90527,0.62977,0.75572,0.73767,0.5802,0.77313,1.17342,0.93948,0.0011719,0.0011719,0.0011719
5,149.537,0.80519,1.20758,0.91237,0.6392,0.69189,0.70563,0.55981,0.74818,1.10132,0.93464,0.00100687,0.00100687,0.00100687
6,177.188,0.78293,1.16462,0.90278,0.6059,0.70751,0.72933,0.58421,0.729,1.0626,0.92928,0.000841835,0.000841835,0.000841835
7,207.818,0.76089,1.18511,0.87149,0.63625,0.7457,0.73727,0.59713,0.72009,1.21205,0.91822,0.000676802,0.000676802,0.000676802
8,237.568,0.71755,1.08875,0.88944,0.66276,0.72717,0.75879,0.61803,0.73972,0.99664,0.9477,0.000511769,0.000511769,0.000511769
9,267.477,0.7372,1.08455,0.87886,0.60779,0.74202,0.74161,0.60283,0.70578,0.95598,0.92948,0.000346736,0.000346736,0.000346736
10,295.02,0.70836,1.03856,0.89379,0.61054,0.7422,0.72954,0.59798,0.67834,0.95004,0.91662,0.000181703,0.000181703,0.000181703
