epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2624,0.78821,1.84085,0.8628,0.58659,0.76616,0.68693,0.50427,0.73659,1.2114,0.85696,0.000551581,0.000551581,0.000551581
2,57.8119,0.82021,2.11441,0.87986,0.65494,0.76668,0.72131,0.54941,0.77953,1.07794,0.86524,0.000888013,0.000888013,0.000888013
3,86.3881,0.82573,1.78084,0.89855,0.48323,0.6895,0.66073,0.50248,0.76269,1.29454,0.86272,0.0010044,0.0010044,0.0010044
4,114.228,0.84511,1.95386,0.9047,0.55111,0.71711,0.66071,0.51345,0.69285,1.22983,0.8471,0.000676802,0.000676802,0.000676802
5,142.133,0.84124,1.65243,0.90596,0.58624,0.71099,0.64967,0.52004,0.67548,1.04997,0.8429,0.000346736,0.000346736,0.000346736
