epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8181,0.85078,2.49026,0.92208,0.60195,0.737,0.70885,0.58716,0.71932,1.32474,0.88818,0.000551581,0.000551581,0.000551581
2,58.5357,0.85859,1.75568,0.91972,0.43394,0.7619,0.63878,0.51517,0.76935,1.33443,0.92286,0.000888013,0.000888013,0.000888013
3,87.2397,0.8151,2.07331,0.90083,0.50299,0.72689,0.62798,0.50686,0.74897,1.45455,0.91369,0.0010044,0.0010044,0.0010044
4,116.269,0.83813,1.96132,0.92057,0.52539,0.78039,0.66411,0.53215,0.76265,1.24799,0.93619,0.000676802,0.000676802,0.000676802
5,143.817,0.86883,1.71662,0.95623,0.51491,0.78992,0.67837,0.54289,0.7067,1.2211,0.92503,0.000346736,0.000346736,0.000346736
