epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9222,0.67979,1.44626,0.84712,0.60232,0.77678,0.71622,0.55821,0.7,1.11539,0.84767,0.000551581,0.000551581,0.000551581
2,61.0586,0.78872,1.60135,0.86963,0.6134,0.69048,0.67765,0.52067,0.77402,1.06332,0.86793,0.00099763,0.00099763,0.00099763
3,91.1336,0.7925,1.63461,0.88824,0.52516,0.6095,0.66308,0.5102,0.70972,1.424,0.85971,0.00133366,0.00133366,0.00133366
4,120.874,0.81386,1.54647,0.90829,0.55167,0.79285,0.66498,0.51431,0.77587,1.3841,0.88485,0.0011719,0.0011719,0.0011719
5,150.331,0.87142,1.6784,0.89782,0.55106,0.65746,0.68858,0.53531,0.7585,1.0673,0.88182,0.00100687,0.00100687,0.00100687
6,178.899,0.76878,1.43447,0.89819,0.65937,0.6347,0.67726,0.55023,0.69793,1.08334,0.86962,0.000841835,0.000841835,0.000841835
7,209.196,0.77738,1.44167,0.89065,0.65322,0.56136,0.63814,0.51336,0.68841,1.04473,0.86525,0.000676802,0.000676802,0.000676802
8,237.926,0.74614,1.35531,0.89666,0.55335,0.64767,0.64529,0.51803,0.71171,0.9963,0.86696,0.000511769,0.000511769,0.000511769
9,266.656,0.76362,1.36556,0.88723,0.56636,0.66521,0.65965,0.53412,0.67776,1.04838,0.86089,0.000346736,0.000346736,0.000346736
10,296.146,0.70942,1.3348,0.88231,0.52881,0.70682,0.65838,0.52984,0.67539,1.00047,0.85925,0.000181703,0.000181703,0.000181703
