epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5524,0.61752,1.10722,0.8175,0.60145,0.77447,0.67473,0.51162,0.70028,1.09706,0.84314,0.000551581,0.000551581,0.000551581
2,57.6743,0.75794,1.78805,0.85148,0.5908,0.71918,0.65763,0.46758,0.80013,1.2151,0.86419,0.000888013,0.000888013,0.000888013
3,85.1383,0.80563,1.43564,0.88081,0.59704,0.6901,0.64428,0.4739,0.74907,1.28188,0.85715,0.0010044,0.0010044,0.0010044
4,114.067,0.81176,1.52567,0.89254,0.60405,0.82516,0.69295,0.53724,0.73795,1.00912,0.85471,0.000676802,0.000676802,0.000676802
5,142.243,0.80999,1.35182,0.91488,0.63852,0.74748,0.69515,0.5535,0.68382,1.00683,0.84795,0.000346736,0.000346736,0.000346736
