epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5727,0.59535,1.08839,0.81291,0.58386,0.70328,0.62357,0.468,0.71845,1.27376,0.85417,0.000551581,0.000551581,0.000551581
2,55.9645,0.70974,1.57841,0.84387,0.64819,0.6306,0.64268,0.48105,0.72024,1.76093,0.85958,0.000888013,0.000888013,0.000888013
3,84.0321,0.77739,1.71214,0.87907,0.65894,0.62181,0.65208,0.48074,0.73208,1.48959,0.86287,0.0010044,0.0010044,0.0010044
4,112.257,0.81087,1.6387,0.90664,0.59262,0.71602,0.62576,0.4697,0.72426,1.34525,0.85965,0.000676802,0.000676802,0.000676802
5,139.868,0.81899,1.57158,0.91764,0.57457,0.7515,0.65421,0.4968,0.71251,1.1202,0.85584,0.000346736,0.000346736,0.000346736
