epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1184,0.58823,0.87043,0.84543,0.70718,0.68193,0.74432,0.60734,0.68162,1.19759,0.90379,0.000551581,0.000551581,0.000551581
2,61.4205,0.73847,1.06111,0.88347,0.53641,0.56078,0.58989,0.48377,0.76162,1.42497,0.9349,0.00099763,0.00099763,0.00099763
3,90.8402,0.76776,1.20258,0.88149,0.62921,0.63916,0.6237,0.50045,0.78194,1.38069,0.93354,0.00133366,0.00133366,0.00133366
4,119.817,0.75296,1.15278,0.89799,0.65402,0.64958,0.67496,0.54498,0.75033,1.24873,0.92186,0.0011719,0.0011719,0.0011719
5,149.603,0.78439,1.16836,0.90031,0.53333,0.62098,0.60984,0.49348,0.76461,1.17804,0.97186,0.00100687,0.00100687,0.00100687
6,179.916,0.73827,1.1143,0.8948,0.687,0.73117,0.75356,0.61552,0.71307,1.00408,0.92431,0.000841835,0.000841835,0.000841835
7,210.019,0.74413,1.11924,0.87046,0.70679,0.74985,0.76475,0.62281,0.72343,1.05813,0.9257,0.000676802,0.000676802,0.000676802
8,239.489,0.70854,1.01857,0.89213,0.67055,0.73101,0.75809,0.61557,0.69225,0.96796,0.91936,0.000511769,0.000511769,0.000511769
9,269.247,0.71221,1.00378,0.8787,0.70391,0.64552,0.71358,0.58668,0.70139,0.99694,0.92237,0.000346736,0.000346736,0.000346736
10,298.374,0.68969,0.99739,0.89278,0.61601,0.743,0.70914,0.58246,0.6842,1.00082,0.91349,0.000181703,0.000181703,0.000181703
