epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6572,0.80991,1.84974,0.897,0.68826,0.71596,0.7767,0.64817,0.69292,1.12027,0.89435,0.000551581,0.000551581,0.000551581
2,61.0182,0.79875,1.56921,0.90558,0.58876,0.76148,0.71103,0.57086,0.7235,1.23396,0.90639,0.00099763,0.00099763,0.00099763
3,90.2646,0.84637,1.58206,0.9035,0.56495,0.77521,0.72137,0.5698,0.76892,1.29387,0.92382,0.00133366,0.00133366,0.00133366
4,119.417,0.78031,1.46385,0.90338,0.61105,0.77269,0.75502,0.59818,0.74319,1.22289,0.9153,0.0011719,0.0011719,0.0011719
5,147.743,0.85411,1.55518,0.90848,0.61964,0.70784,0.71733,0.56392,0.7703,1.19122,0.92545,0.00100687,0.00100687,0.00100687
6,176.196,0.8073,1.44322,0.90643,0.66856,0.68147,0.70941,0.55951,0.76894,1.20757,0.93402,0.000841835,0.000841835,0.000841835
7,204.828,0.78718,1.44805,0.87031,0.59324,0.77296,0.71596,0.56593,0.77587,1.16865,0.92827,0.000676802,0.000676802,0.000676802
8,233.866,0.7462,1.30769,0.89058,0.59779,0.80042,0.71331,0.56894,0.74037,1.11446,0.92115,0.000511769,0.000511769,0.000511769
9,263.381,0.77137,1.35513,0.88092,0.58176,0.79368,0.71106,0.56607,0.73619,1.12759,0.92318,0.000346736,0.000346736,0.000346736
10,292.93,0.74735,1.29937,0.88797,0.65934,0.70756,0.72268,0.5865,0.71143,1.11969,0.90883,0.000181703,0.000181703,0.000181703
