epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5025,0.49296,0.72378,0.80635,0.63439,0.76236,0.73407,0.56234,0.77546,1.22399,0.887,0.000551581,0.000551581,0.000551581
2,43.1371,0.71423,0.94695,0.8572,0.62835,0.76476,0.69223,0.51254,0.77962,1.2439,0.89626,0.00099763,0.00099763,0.00099763
3,64.2327,0.78714,1.12646,0.88266,0.61995,0.64583,0.7149,0.5476,0.75981,1.22001,0.90859,0.00133366,0.00133366,0.00133366
4,84.9155,0.7405,1.10954,0.88797,0.54216,0.63815,0.66098,0.52601,0.70075,1.32103,0.89041,0.0011719,0.0011719,0.0011719
5,105.64,0.78942,1.18134,0.88319,0.70498,0.72405,0.76659,0.60555,0.71391,1.04741,0.88608,0.00100687,0.00100687,0.00100687
6,126.617,0.72002,1.08293,0.87068,0.58494,0.72099,0.7134,0.56222,0.74374,1.12145,0.9008,0.000841835,0.000841835,0.000841835
7,147.684,0.76499,1.08941,0.88516,0.60107,0.73516,0.71947,0.57288,0.73514,1.11123,0.89906,0.000676802,0.000676802,0.000676802
8,167.999,0.69096,1.01404,0.88073,0.65842,0.73862,0.74275,0.59621,0.66386,0.99053,0.88575,0.000511769,0.000511769,0.000511769
9,188.749,0.76865,1.05372,0.87802,0.59037,0.77442,0.75427,0.60218,0.66657,1.05137,0.88155,0.000346736,0.000346736,0.000346736
10,210.229,0.72075,1.03011,0.90335,0.58712,0.77694,0.74787,0.59741,0.666,1.04857,0.88084,0.000181703,0.000181703,0.000181703
