epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6266,0.90313,2.31593,0.91764,0.6014,0.7328,0.74057,0.57778,0.7304,1.2703,0.87235,0.000551581,0.000551581,0.000551581
2,40.3716,0.84516,1.84038,0.90619,0.65355,0.59986,0.65984,0.50384,0.75568,1.39943,0.87966,0.000888013,0.000888013,0.000888013
3,60.3905,0.87754,1.68209,0.92974,0.4586,0.68129,0.61479,0.47903,0.76251,1.47087,0.87765,0.0010044,0.0010044,0.0010044
4,80.8041,0.87844,1.78759,0.92744,0.61544,0.743,0.6668,0.5092,0.75002,1.21671,0.88324,0.000676802,0.000676802,0.000676802
5,100.846,0.85655,1.72107,0.91621,0.60527,0.69711,0.70053,0.55481,0.69637,1.1584,0.87059,0.000346736,0.000346736,0.000346736
