epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8741,0.78752,1.81852,0.87359,0.5868,0.6399,0.65378,0.51486,0.72382,1.18645,0.85584,0.000551581,0.000551581,0.000551581
2,59.7941,0.78751,1.73616,0.8724,0.54355,0.62248,0.68154,0.52053,0.72521,1.36065,0.85118,0.00099763,0.00099763,0.00099763
3,88.6328,0.80971,1.68859,0.881,0.50227,0.65741,0.65364,0.49964,0.74185,1.32101,0.85738,0.00133366,0.00133366,0.00133366
4,117.43,0.81791,1.59563,0.89073,0.51588,0.72594,0.67029,0.51495,0.79515,1.13274,0.87377,0.0011719,0.0011719,0.0011719
5,145.409,0.88078,1.65882,0.88932,0.54677,0.69297,0.68519,0.54683,0.72948,1.10279,0.86555,0.00100687,0.00100687,0.00100687
6,174.578,0.79395,1.58496,0.89201,0.62636,0.63243,0.65511,0.53092,0.70458,1.17581,0.86198,0.000841835,0.000841835,0.000841835
7,203.908,0.76044,1.53643,0.87035,0.62963,0.64472,0.66498,0.5416,0.71635,1.08751,0.86287,0.000676802,0.000676802,0.000676802
8,232.472,0.74615,1.45894,0.88772,0.66735,0.63155,0.66106,0.54036,0.70847,1.04272,0.85975,0.000511769,0.000511769,0.000511769
9,261.028,0.76411,1.46183,0.87637,0.60702,0.64529,0.6631,0.54064,0.6762,1.1184,0.85162,0.000346736,0.000346736,0.000346736
10,290.039,0.73958,1.41474,0.87585,0.5798,0.67015,0.6706,0.54652,0.6671,1.06402,0.85229,0.000181703,0.000181703,0.000181703
