epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4137,0.6396,1.22641,0.82361,0.66426,0.71889,0.67873,0.50657,0.79901,1.09291,0.87375,0.000551581,0.000551581,0.000551581
2,57.55,0.78924,1.50741,0.85859,0.59943,0.70667,0.64862,0.47434,0.80404,1.14348,0.86752,0.000888013,0.000888013,0.000888013
3,86.2585,0.8122,1.42015,0.8778,0.63822,0.71522,0.67264,0.50817,0.80253,1.09654,0.86514,0.0010044,0.0010044,0.0010044
4,114.405,0.84748,1.56071,0.90262,0.56306,0.72881,0.67024,0.51764,0.72305,1.12128,0.86517,0.000676802,0.000676802,0.000676802
5,143.223,0.84305,1.46094,0.93013,0.57199,0.74409,0.69955,0.54722,0.68236,1.0134,0.86043,0.000346736,0.000346736,0.000346736
