epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0745,0.53399,0.8879,0.82035,0.64807,0.80779,0.75075,0.58236,0.698,1.03651,0.85045,0.000551581,0.000551581,0.000551581
2,58.4792,0.72762,1.12798,0.85127,0.61755,0.76191,0.68098,0.51418,0.77833,1.01081,0.86269,0.00099763,0.00099763,0.00099763
3,86.6303,0.74478,1.12067,0.87939,0.59354,0.75264,0.70928,0.55456,0.72441,1.02613,0.86317,0.00133366,0.00133366,0.00133366
4,114.828,0.77434,1.14674,0.89675,0.57406,0.70071,0.71162,0.54732,0.76866,1.09563,0.87209,0.0011719,0.0011719,0.0011719
5,142.763,0.79566,1.2214,0.87645,0.51779,0.74494,0.65021,0.51393,0.75271,1.01693,0.86957,0.00100687,0.00100687,0.00100687
6,171.18,0.73018,1.09743,0.8827,0.53664,0.67026,0.6562,0.52842,0.66479,1.00932,0.85836,0.000841835,0.000841835,0.000841835
7,202.531,0.75963,1.13228,0.87692,0.54661,0.70417,0.70314,0.56271,0.67213,0.9124,0.85977,0.000676802,0.000676802,0.000676802
8,231.216,0.71471,1.07086,0.88686,0.54441,0.76924,0.70732,0.55802,0.70622,0.89476,0.86598,0.000511769,0.000511769,0.000511769
9,259.431,0.74361,1.09527,0.8832,0.56259,0.75655,0.71271,0.56291,0.6857,0.95494,0.8621,0.000346736,0.000346736,0.000346736
10,288.342,0.6893,1.06653,0.87538,0.55713,0.78316,0.70232,0.56246,0.6526,0.89812,0.85583,0.000181703,0.000181703,0.000181703
