epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2623,0.62635,1.06112,0.84051,0.67016,0.77579,0.71716,0.56941,0.73205,1.1098,0.87426,0.000551581,0.000551581,0.000551581
2,42.9283,0.71911,1.06053,0.86935,0.6489,0.74945,0.72583,0.55608,0.74324,1.21051,0.88745,0.000888013,0.000888013,0.000888013
3,64.7566,0.80586,1.20436,0.91767,0.55835,0.73014,0.67498,0.52908,0.73335,1.19025,0.89379,0.0010044,0.0010044,0.0010044
4,85.6086,0.82673,1.33229,0.92135,0.59316,0.75675,0.70554,0.54682,0.73095,1.10217,0.88795,0.000676802,0.000676802,0.000676802
5,107.239,0.81019,1.28254,0.89901,0.64771,0.69298,0.72362,0.56703,0.71115,1.08951,0.87858,0.000346736,0.000346736,0.000346736
