epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2513,0.5487,0.79149,0.82175,0.70044,0.76142,0.75649,0.601,0.69779,0.95588,0.85231,0.000551581,0.000551581,0.000551581
2,60.5331,0.74198,1.09926,0.86054,0.47093,0.71322,0.6556,0.48974,0.7596,1.30218,0.86126,0.00099763,0.00099763,0.00099763
3,91.2295,0.73492,1.13332,0.8771,0.62137,0.75299,0.67424,0.51825,0.71274,1.00562,0.85678,0.00133366,0.00133366,0.00133366
4,120.018,0.76048,1.07655,0.8947,0.59339,0.72625,0.70401,0.5457,0.68665,0.9841,0.86083,0.0011719,0.0011719,0.0011719
5,150.126,0.81541,1.12188,0.88353,0.60816,0.69857,0.70714,0.56224,0.71059,0.91256,0.86156,0.00100687,0.00100687,0.00100687
6,181.053,0.72712,1.03803,0.88405,0.56088,0.7354,0.71915,0.58198,0.6643,0.83197,0.85542,0.000841835,0.000841835,0.000841835
7,210.729,0.73958,1.06006,0.87413,0.58987,0.71402,0.71504,0.56952,0.66214,0.87725,0.85609,0.000676802,0.000676802,0.000676802
8,239.758,0.70198,0.99359,0.88903,0.58954,0.70843,0.71098,0.57098,0.66877,0.87258,0.85501,0.000511769,0.000511769,0.000511769
9,269.887,0.72017,0.97928,0.87865,0.60854,0.71861,0.71969,0.57779,0.66237,0.90058,0.85163,0.000346736,0.000346736,0.000346736
10,298.842,0.68394,0.97196,0.87034,0.5794,0.7313,0.7153,0.5789,0.64155,0.84995,0.84918,0.000181703,0.000181703,0.000181703
