epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1238,0.72839,1.39475,0.8753,0.70892,0.74883,0.7959,0.63946,0.74281,1.15275,0.90996,0.000551581,0.000551581,0.000551581
2,59.4033,0.8192,1.48712,0.9003,0.70843,0.67308,0.75955,0.61288,0.78743,1.09383,0.92768,0.00099763,0.00099763,0.00099763
3,88.222,0.82379,1.4968,0.89499,0.65224,0.77185,0.7311,0.58789,0.76104,1.15746,0.91988,0.00133366,0.00133366,0.00133366
4,117.456,0.77633,1.37668,0.89854,0.59353,0.78095,0.71064,0.57055,0.79989,1.15529,0.9288,0.0011719,0.0011719,0.0011719
5,146.619,0.84975,1.43343,0.9084,0.47298,0.72242,0.68267,0.54849,0.74263,1.25405,0.9383,0.00100687,0.00100687,0.00100687
6,175.673,0.78855,1.35577,0.89768,0.60022,0.78907,0.71282,0.5717,0.74077,1.12489,0.91537,0.000841835,0.000841835,0.000841835
7,205.884,0.77811,1.38296,0.86154,0.67167,0.74233,0.73375,0.59099,0.74555,1.10166,0.90831,0.000676802,0.000676802,0.000676802
8,235.539,0.73972,1.22881,0.88441,0.66273,0.79062,0.72988,0.59291,0.74784,1.09165,0.92388,0.000511769,0.000511769,0.000511769
9,265.38,0.75744,1.2624,0.87297,0.68549,0.73944,0.72264,0.59012,0.72292,1.04379,0.92342,0.000346736,0.000346736,0.000346736
10,294.494,0.71825,1.20391,0.87889,0.63106,0.80098,0.71232,0.58438,0.69216,1.03096,0.9107,0.000181703,0.000181703,0.000181703
