epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8456,0.72984,1.66718,0.84652,0.63446,0.74438,0.68732,0.4988,0.76391,1.34063,0.86311,0.000551581,0.000551581,0.000551581
2,56.4685,0.79008,1.95781,0.87458,0.55633,0.8009,0.69645,0.5086,0.75717,1.08684,0.86518,0.000888013,0.000888013,0.000888013
3,83.8708,0.81629,1.6909,0.89917,0.54374,0.71325,0.65633,0.49534,0.75175,1.33363,0.86271,0.0010044,0.0010044,0.0010044
4,111.671,0.86107,1.87965,0.90758,0.58423,0.77185,0.66449,0.51427,0.72115,1.14353,0.84691,0.000676802,0.000676802,0.000676802
5,138.84,0.84525,1.52697,0.90783,0.62413,0.76043,0.6921,0.54575,0.6784,1.03625,0.84334,0.000346736,0.000346736,0.000346736
