epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0378,0.60531,1.01504,0.83356,0.63883,0.73563,0.7536,0.59251,0.68577,1.10326,0.87182,0.000551581,0.000551581,0.000551581
2,42.4802,0.78148,1.25449,0.88195,0.61271,0.76215,0.69329,0.53818,0.76146,1.25874,0.89159,0.00099763,0.00099763,0.00099763
3,63.2732,0.78526,1.21834,0.88082,0.61364,0.70905,0.72195,0.5622,0.7413,1.13116,0.89273,0.00133366,0.00133366,0.00133366
4,83.9401,0.75859,1.25016,0.89594,0.54778,0.67329,0.67148,0.52388,0.76954,1.32511,0.89748,0.0011719,0.0011719,0.0011719
5,104.278,0.8228,1.32942,0.89515,0.42948,0.69989,0.63438,0.5029,0.71947,1.33841,0.88819,0.00100687,0.00100687,0.00100687
6,124.379,0.72063,1.15273,0.87905,0.6423,0.72575,0.72462,0.57861,0.69558,1.07503,0.88777,0.000841835,0.000841835,0.000841835
7,145.219,0.77274,1.21801,0.8864,0.4836,0.72942,0.68192,0.54806,0.70567,1.25198,0.88606,0.000676802,0.000676802,0.000676802
8,166.308,0.70003,1.0856,0.88211,0.57087,0.73305,0.71528,0.57976,0.69056,1.06258,0.88406,0.000511769,0.000511769,0.000511769
9,187.069,0.76076,1.15202,0.87778,0.63446,0.79238,0.75154,0.60617,0.67923,1.02475,0.87753,0.000346736,0.000346736,0.000346736
10,208.656,0.70877,1.14659,0.90034,0.65664,0.73105,0.75054,0.60572,0.66531,1.03211,0.87501,0.000181703,0.000181703,0.000181703
