epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.516,0.59867,0.9673,0.83738,0.652,0.84875,0.79252,0.60666,0.72554,1.02947,0.87432,0.000551581,0.000551581,0.000551581
2,41.1832,0.70636,0.99353,0.86382,0.60226,0.71231,0.67668,0.52052,0.72427,1.37512,0.88339,0.000888013,0.000888013,0.000888013
3,61.7883,0.78279,1.14796,0.90923,0.62635,0.7623,0.72598,0.57683,0.71355,1.1665,0.88787,0.0010044,0.0010044,0.0010044
4,82.5111,0.80026,1.30512,0.91403,0.67456,0.76387,0.73399,0.58003,0.71643,1.09081,0.88354,0.000676802,0.000676802,0.000676802
5,102.944,0.81751,1.29817,0.90263,0.65121,0.78942,0.74025,0.59026,0.69578,1.07275,0.87482,0.000346736,0.000346736,0.000346736
