epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3631,0.69735,1.39288,0.8843,0.64798,0.73912,0.70363,0.56116,0.74306,1.144,0.90302,0.000551581,0.000551581,0.000551581
2,56.4646,0.81108,1.45912,0.90314,0.5941,0.69888,0.65431,0.52977,0.75503,1.34155,0.90352,0.000888013,0.000888013,0.000888013
3,84.0475,0.80811,1.77853,0.8844,0.61001,0.73711,0.68171,0.54546,0.77738,1.3104,0.9051,0.0010044,0.0010044,0.0010044
4,111.703,0.82071,1.65311,0.90677,0.55426,0.76779,0.6753,0.53349,0.74025,1.25545,0.90259,0.000676802,0.000676802,0.000676802
5,139.806,0.86522,1.61792,0.93148,0.60766,0.77101,0.70659,0.57125,0.70237,1.12626,0.89137,0.000346736,0.000346736,0.000346736
