epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0923,0.67399,1.37203,0.8677,0.59939,0.79258,0.774,0.63608,0.72934,1.25551,0.90523,0.000551581,0.000551581,0.000551581
2,62.0355,0.79847,1.51949,0.89944,0.61024,0.58697,0.65786,0.53422,0.75007,1.34542,0.92836,0.00099763,0.00099763,0.00099763
3,91.7239,0.81589,1.44779,0.89734,0.63571,0.70546,0.67911,0.54518,0.76126,1.22726,0.92396,0.00133366,0.00133366,0.00133366
4,121.128,0.76946,1.33492,0.89877,0.57934,0.77015,0.72398,0.57706,0.75525,1.13628,0.91225,0.0011719,0.0011719,0.0011719
5,149.967,0.81156,1.35014,0.89875,0.6597,0.74568,0.75311,0.61456,0.72606,1.0361,0.91749,0.00100687,0.00100687,0.00100687
6,181.489,0.77897,1.30196,0.89855,0.65189,0.74663,0.7199,0.58741,0.73639,1.08774,0.91355,0.000841835,0.000841835,0.000841835
7,212.224,0.76959,1.32886,0.86382,0.68122,0.75168,0.72994,0.60211,0.72646,1.14171,0.90791,0.000676802,0.000676802,0.000676802
8,242.355,0.70801,1.18311,0.87955,0.67662,0.78571,0.74726,0.61311,0.69662,0.98543,0.9078,0.000511769,0.000511769,0.000511769
9,273.184,0.73211,1.21333,0.87698,0.63132,0.7909,0.74242,0.60771,0.68215,0.98963,0.91086,0.000346736,0.000346736,0.000346736
10,301.841,0.70237,1.16924,0.884,0.65502,0.76639,0.74709,0.61796,0.67659,0.99683,0.90261,0.000181703,0.000181703,0.000181703
