epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3377,0.61286,1.00782,0.85488,0.71558,0.65012,0.72019,0.5776,0.71136,1.11502,0.89383,0.000551581,0.000551581,0.000551581
2,57.4899,0.83992,1.15858,0.90839,0.6398,0.68933,0.61314,0.49751,0.72789,1.2879,0.91589,0.000888013,0.000888013,0.000888013
3,87.0848,0.84165,1.40005,0.89686,0.56334,0.76765,0.66934,0.51662,0.84669,1.21449,0.93349,0.0010044,0.0010044,0.0010044
4,116.265,0.83578,1.36477,0.90455,0.57499,0.77882,0.68303,0.55635,0.69809,1.19038,0.89256,0.000676802,0.000676802,0.000676802
5,146.025,0.84328,1.33589,0.93191,0.60169,0.69986,0.67965,0.54251,0.7135,1.10656,0.89755,0.000346736,0.000346736,0.000346736
