epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9042,0.69446,1.41528,0.83669,0.63371,0.74883,0.69298,0.50715,0.76579,1.10951,0.85821,0.000551581,0.000551581,0.000551581
2,55.1096,0.78384,1.70534,0.86705,0.58568,0.75199,0.67115,0.50686,0.73546,1.10726,0.85668,0.000888013,0.000888013,0.000888013
3,83.4364,0.80223,1.56367,0.88541,0.56293,0.67797,0.6356,0.49747,0.7548,1.2031,0.85935,0.0010044,0.0010044,0.0010044
4,110.853,0.84418,1.66584,0.91177,0.5599,0.62216,0.63841,0.50967,0.68711,1.21549,0.84946,0.000676802,0.000676802,0.000676802
5,138.757,0.83511,1.56359,0.92791,0.49792,0.68873,0.64737,0.5158,0.69344,1.05722,0.85183,0.000346736,0.000346736,0.000346736
