epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5655,0.88903,2.19261,0.88877,0.59142,0.69066,0.67913,0.4892,0.85615,1.4971,0.88697,0.000551581,0.000551581,0.000551581
2,58.3996,0.86975,2.20203,0.89686,0.52045,0.69332,0.66035,0.50416,0.74578,1.16926,0.86077,0.000888013,0.000888013,0.000888013
3,87.4861,0.88129,1.77273,0.91093,0.51726,0.63462,0.64975,0.49184,0.80881,1.39064,0.86637,0.0010044,0.0010044,0.0010044
4,115.957,0.85723,1.96958,0.91456,0.51436,0.72597,0.66887,0.5198,0.74688,1.12822,0.86348,0.000676802,0.000676802,0.000676802
5,145.444,0.87598,1.68814,0.92768,0.54266,0.71579,0.67529,0.53361,0.70291,1.09381,0.85639,0.000346736,0.000346736,0.000346736
