epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.365,0.55485,0.86763,0.82552,0.64608,0.80703,0.74426,0.58852,0.70275,0.95513,0.84625,0.000551581,0.000551581,0.000551581
2,61.6729,0.75777,1.18276,0.86205,0.46179,0.67416,0.63328,0.47776,0.78227,1.44663,0.8741,0.00099763,0.00099763,0.00099763
3,90.895,0.77681,1.21858,0.87804,0.61029,0.71863,0.66063,0.50281,0.75533,1.06004,0.86624,0.00133366,0.00133366,0.00133366
4,120.863,0.79778,1.26088,0.90135,0.61002,0.79247,0.70713,0.54051,0.7374,1.02639,0.87511,0.0011719,0.0011719,0.0011719
5,149.295,0.84378,1.20168,0.88744,0.54987,0.78442,0.66685,0.50129,0.7609,1.11743,0.87699,0.00100687,0.00100687,0.00100687
6,180.442,0.7574,1.15904,0.88858,0.53972,0.74485,0.6852,0.53324,0.70959,0.97998,0.86331,0.000841835,0.000841835,0.000841835
7,209.951,0.76902,1.12914,0.87584,0.61024,0.67958,0.70112,0.56423,0.6593,0.93314,0.85533,0.000676802,0.000676802,0.000676802
8,238.45,0.71572,1.07466,0.89034,0.58614,0.69059,0.69472,0.54678,0.67877,0.89471,0.85877,0.000511769,0.000511769,0.000511769
9,267.408,0.73289,1.03641,0.87655,0.53421,0.76811,0.69632,0.5542,0.6708,0.93202,0.85445,0.000346736,0.000346736,0.000346736
10,296.668,0.69931,1.04081,0.87453,0.54546,0.76921,0.70165,0.56359,0.64092,0.8855,0.85102,0.000181703,0.000181703,0.000181703
