epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1692,0.69029,1.24221,0.85514,0.66509,0.7694,0.71358,0.5573,0.75223,1.15899,0.87392,0.000551581,0.000551581,0.000551581
2,42.9796,0.77097,1.31876,0.88222,0.66898,0.6408,0.70028,0.52931,0.77223,1.39384,0.90144,0.000888013,0.000888013,0.000888013
3,64.2245,0.86199,1.40954,0.93492,0.59086,0.7456,0.72078,0.55356,0.79795,1.25387,0.91358,0.0010044,0.0010044,0.0010044
4,84.8039,0.86135,1.50365,0.93135,0.68072,0.74776,0.76883,0.6095,0.73056,1.07916,0.88413,0.000676802,0.000676802,0.000676802
5,105.207,0.82474,1.37729,0.90491,0.67839,0.75503,0.7798,0.61306,0.736,1.07357,0.88275,0.000346736,0.000346736,0.000346736
