epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4529,0.65474,1.13195,0.86715,0.60835,0.7514,0.71243,0.57032,0.73419,1.1766,0.9075,0.000551581,0.000551581,0.000551581
2,58.3559,0.82084,1.30435,0.89591,0.64083,0.71064,0.62958,0.50674,0.7466,1.53409,0.89707,0.000888013,0.000888013,0.000888013
3,86.3258,0.83345,1.56814,0.87693,0.62993,0.72662,0.66855,0.52529,0.77628,1.22722,0.89835,0.0010044,0.0010044,0.0010044
4,114.055,0.82461,1.45977,0.89667,0.65164,0.73436,0.6757,0.55146,0.69603,1.14185,0.90272,0.000676802,0.000676802,0.000676802
5,141.701,0.84392,1.37738,0.93581,0.66089,0.77592,0.68929,0.56644,0.68539,1.06158,0.8992,0.000346736,0.000346736,0.000346736
