epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9256,0.53858,0.74044,0.83368,0.6212,0.70742,0.72306,0.59505,0.70318,1.08621,0.90744,0.000551581,0.000551581,0.000551581
2,60.4273,0.68157,0.92449,0.87043,0.48878,0.63347,0.60817,0.48285,0.78165,1.51918,0.93574,0.00099763,0.00099763,0.00099763
3,89.3645,0.76164,1.17076,0.87402,0.57747,0.60098,0.61469,0.4885,0.77318,1.23132,0.94148,0.00133366,0.00133366,0.00133366
4,118.679,0.73247,1.08219,0.88623,0.62083,0.65634,0.68313,0.55222,0.72587,1.07314,0.92187,0.0011719,0.0011719,0.0011719
5,147.918,0.77023,1.07065,0.89547,0.50494,0.72647,0.64176,0.51377,0.76938,1.1528,0.98371,0.00100687,0.00100687,0.00100687
6,178.821,0.72688,1.04894,0.89377,0.71524,0.65574,0.72063,0.58554,0.72644,1.01973,0.93865,0.000841835,0.000841835,0.000841835
7,208.104,0.74977,1.06932,0.86776,0.65443,0.70924,0.73939,0.59399,0.7285,1.04321,0.93204,0.000676802,0.000676802,0.000676802
8,237.481,0.70509,0.9598,0.88829,0.64115,0.74272,0.72744,0.58645,0.74424,1.05145,0.93808,0.000511769,0.000511769,0.000511769
9,267.158,0.73247,1.01048,0.88141,0.63249,0.73249,0.71643,0.57697,0.72444,1.01935,0.93315,0.000346736,0.000346736,0.000346736
10,296.198,0.6946,0.96424,0.88604,0.61718,0.75168,0.70115,0.57042,0.69535,1.01378,0.9179,0.000181703,0.000181703,0.000181703
