epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3982,0.45034,0.58101,0.79856,0.70511,0.62779,0.72471,0.57294,0.72125,1.62865,0.88235,0.000551581,0.000551581,0.000551581
2,42.9597,0.64468,0.90563,0.85118,0.56322,0.712,0.6381,0.49111,0.71374,1.42855,0.87547,0.00099763,0.00099763,0.00099763
3,64.1587,0.74116,1.01604,0.86396,0.72123,0.53166,0.66168,0.50084,0.78278,1.82835,0.91267,0.00133366,0.00133366,0.00133366
4,85.0764,0.7022,1.02672,0.87303,0.63014,0.64009,0.68285,0.5428,0.73666,1.17364,0.89798,0.0011719,0.0011719,0.0011719
5,105.984,0.73441,1.04762,0.86363,0.57465,0.76015,0.69639,0.55406,0.70416,1.04929,0.89136,0.00100687,0.00100687,0.00100687
6,126.748,0.68314,1.01169,0.85782,0.56213,0.70809,0.65594,0.52014,0.71036,1.07488,0.89118,0.000841835,0.000841835,0.000841835
7,147.968,0.724,1.00049,0.87011,0.59765,0.68343,0.65758,0.52244,0.71923,1.18067,0.89667,0.000676802,0.000676802,0.000676802
8,169.166,0.66901,0.91269,0.87449,0.63262,0.74649,0.73738,0.59188,0.69207,1.02396,0.88388,0.000511769,0.000511769,0.000511769
9,190.538,0.74263,0.93844,0.87011,0.63319,0.76283,0.78013,0.62451,0.67757,0.93816,0.87816,0.000346736,0.000346736,0.000346736
10,211.579,0.68842,0.91296,0.8894,0.59619,0.79868,0.77696,0.62032,0.66729,0.93863,0.87414,0.000181703,0.000181703,0.000181703
