epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5846,0.6566,1.25456,0.84844,0.63889,0.76257,0.72297,0.57529,0.73002,1.16155,0.86424,0.000551581,0.000551581,0.000551581
2,42.2995,0.73691,1.1816,0.87361,0.62488,0.78157,0.74563,0.58542,0.72367,1.29782,0.881,0.000888013,0.000888013,0.000888013
3,63.3769,0.81685,1.28772,0.91777,0.5624,0.6356,0.66054,0.52731,0.73097,1.27787,0.88582,0.0010044,0.0010044,0.0010044
4,85.2138,0.82624,1.3873,0.92008,0.56951,0.67567,0.64671,0.52596,0.71673,1.11599,0.88334,0.000676802,0.000676802,0.000676802
5,106.735,0.8203,1.32019,0.90248,0.5565,0.66487,0.65999,0.53499,0.71127,1.11374,0.88052,0.000346736,0.000346736,0.000346736
