epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2491,0.71401,1.41418,0.8598,0.69159,0.77784,0.76236,0.59855,0.70935,1.04839,0.86781,0.000551581,0.000551581,0.000551581
2,40.6548,0.77662,1.35272,0.88862,0.63492,0.64269,0.7103,0.56152,0.73192,1.18381,0.87506,0.000888013,0.000888013,0.000888013
3,60.9853,0.82968,1.32605,0.92102,0.54091,0.66209,0.64795,0.51832,0.70595,1.25244,0.86602,0.0010044,0.0010044,0.0010044
4,81.6951,0.80449,1.43036,0.90532,0.67372,0.79562,0.77749,0.62118,0.6956,0.99808,0.86658,0.000676802,0.000676802,0.000676802
5,102.203,0.80715,1.38282,0.8896,0.64513,0.77003,0.77146,0.61662,0.69207,1.00994,0.86486,0.000346736,0.000346736,0.000346736
