epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4342,0.47931,0.6992,0.80463,0.61442,0.68863,0.69391,0.53794,0.71459,1.34733,0.87475,0.000551581,0.000551581,0.000551581
2,44.1421,0.66728,0.85359,0.85518,0.57845,0.72737,0.69465,0.55191,0.70084,1.21841,0.88323,0.00099763,0.00099763,0.00099763
3,66.0565,0.73679,0.99136,0.8705,0.53845,0.67942,0.64575,0.50266,0.76347,1.3513,0.89888,0.00133366,0.00133366,0.00133366
4,86.9753,0.73134,1.03062,0.88178,0.37798,0.64045,0.53989,0.41666,0.77168,1.57498,0.92076,0.0011719,0.0011719,0.0011719
5,107.974,0.77874,1.11707,0.88135,0.58324,0.66101,0.6621,0.52363,0.72763,1.15406,0.89381,0.00100687,0.00100687,0.00100687
6,129.033,0.70778,1.14263,0.86704,0.5324,0.6764,0.65668,0.52124,0.72015,1.05904,0.89146,0.000841835,0.000841835,0.000841835
7,150.571,0.76402,1.07823,0.87966,0.5996,0.70492,0.70719,0.56036,0.71735,1.08835,0.89199,0.000676802,0.000676802,0.000676802
8,171.526,0.71049,1.00327,0.88578,0.67295,0.76015,0.7669,0.61078,0.70184,1.01127,0.88672,0.000511769,0.000511769,0.000511769
9,192.398,0.75047,1.02658,0.87493,0.68011,0.743,0.78468,0.61546,0.69942,0.97368,0.8859,0.000346736,0.000346736,0.000346736
10,214.368,0.69994,0.97547,0.89201,0.68789,0.73257,0.78474,0.61659,0.69536,0.95493,0.88469,0.000181703,0.000181703,0.000181703
