epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7113,0.55393,0.83816,0.82022,0.55999,0.70663,0.69797,0.53475,0.72976,1.20391,0.88628,0.000551581,0.000551581,0.000551581
2,42.579,0.68928,1.00792,0.86652,0.69038,0.684,0.7051,0.54797,0.73269,1.23742,0.88934,0.00099763,0.00099763,0.00099763
3,63.3522,0.73386,1.12196,0.87183,0.7152,0.6523,0.73187,0.57082,0.74407,1.14139,0.90377,0.00133366,0.00133366,0.00133366
4,84.4255,0.71188,1.14326,0.87933,0.62535,0.60346,0.67802,0.53056,0.76372,1.20921,0.90775,0.0011719,0.0011719,0.0011719
5,105.63,0.79136,1.21958,0.88476,0.64586,0.69847,0.71292,0.56407,0.75148,1.32447,0.90407,0.00100687,0.00100687,0.00100687
6,126.655,0.72119,1.18035,0.87039,0.58781,0.69603,0.71205,0.57212,0.70224,1.11082,0.89083,0.000841835,0.000841835,0.000841835
7,147.927,0.75386,1.18165,0.87597,0.56643,0.7286,0.70932,0.5759,0.70478,1.10995,0.88477,0.000676802,0.000676802,0.000676802
8,168.505,0.6794,1.10165,0.87581,0.64974,0.7491,0.75601,0.60645,0.69267,1.04881,0.88206,0.000511769,0.000511769,0.000511769
9,189.216,0.75929,1.09998,0.87475,0.65941,0.72212,0.76099,0.60445,0.68796,1.01669,0.88217,0.000346736,0.000346736,0.000346736
10,210.734,0.70329,1.03347,0.89455,0.63102,0.75341,0.7663,0.60688,0.67438,1.01286,0.87961,0.000181703,0.000181703,0.000181703
