epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3741,0.5321,0.84634,0.82206,0.64413,0.77742,0.73939,0.5841,0.68833,0.93197,0.85076,0.000551581,0.000551581,0.000551581
2,60.1062,0.74283,1.09528,0.85916,0.5486,0.74811,0.70061,0.52827,0.8054,1.00631,0.88136,0.00099763,0.00099763,0.00099763
3,89.4101,0.78445,1.17514,0.87826,0.50616,0.65653,0.63539,0.48815,0.7329,1.37145,0.85451,0.00133366,0.00133366,0.00133366
4,118.688,0.80893,1.14624,0.89431,0.59299,0.79187,0.70259,0.54292,0.72916,0.88958,0.86705,0.0011719,0.0011719,0.0011719
5,147.306,0.82591,1.1449,0.87903,0.50561,0.70421,0.66595,0.51913,0.71832,0.97893,0.8651,0.00100687,0.00100687,0.00100687
6,175.733,0.74712,1.06462,0.8836,0.51587,0.73378,0.68595,0.55322,0.68473,0.91133,0.8603,0.000841835,0.000841835,0.000841835
7,206.251,0.76902,1.05424,0.87766,0.62942,0.6293,0.70286,0.57281,0.67814,0.87196,0.85956,0.000676802,0.000676802,0.000676802
8,235.258,0.72017,1.02115,0.88688,0.53996,0.74142,0.69856,0.55038,0.7003,0.85418,0.85912,0.000511769,0.000511769,0.000511769
9,264.066,0.74366,1.00543,0.87617,0.54864,0.72112,0.68994,0.54421,0.69055,0.92335,0.85736,0.000346736,0.000346736,0.000346736
10,292.536,0.69217,1.01594,0.86819,0.54958,0.73889,0.69791,0.55909,0.65011,0.8735,0.85095,0.000181703,0.000181703,0.000181703
