epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.33,0.56233,1.00749,0.8277,0.66824,0.76939,0.74178,0.57719,0.71769,1.08324,0.856,0.000551581,0.000551581,0.000551581
2,59.9365,0.72542,1.23626,0.84918,0.54961,0.69548,0.6856,0.50661,0.76912,1.35741,0.8622,0.00099763,0.00099763,0.00099763
3,88.3239,0.78763,1.39639,0.87746,0.56156,0.73413,0.68971,0.49768,0.81636,1.21998,0.87228,0.00133366,0.00133366,0.00133366
4,117.147,0.82509,1.35392,0.90441,0.62354,0.73371,0.70392,0.53233,0.76657,0.99791,0.88041,0.0011719,0.0011719,0.0011719
5,145.703,0.84374,1.33589,0.88574,0.51351,0.74263,0.6604,0.52054,0.71225,1.06645,0.86367,0.00100687,0.00100687,0.00100687
6,176.167,0.75158,1.26942,0.88636,0.52531,0.72099,0.66626,0.53981,0.67303,0.95533,0.85982,0.000841835,0.000841835,0.000841835
7,205.552,0.74342,1.23113,0.87477,0.52191,0.76419,0.66567,0.53345,0.67657,0.93994,0.8595,0.000676802,0.000676802,0.000676802
8,234.99,0.71565,1.16983,0.88696,0.49526,0.68724,0.66587,0.53098,0.68231,0.97412,0.85717,0.000511769,0.000511769,0.000511769
9,263.742,0.73333,1.19167,0.87633,0.51347,0.70822,0.68276,0.54752,0.6697,0.98107,0.85327,0.000346736,0.000346736,0.000346736
10,292.642,0.70007,1.16821,0.87419,0.52404,0.7425,0.69389,0.56354,0.64212,0.92556,0.84829,0.000181703,0.000181703,0.000181703
