epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9358,0.63757,1.38252,0.84017,0.6251,0.77498,0.70665,0.55677,0.71661,1.26451,0.85463,0.000551581,0.000551581,0.000551581
2,59.72,0.75732,1.4457,0.86359,0.49418,0.72898,0.66025,0.50901,0.7397,1.19143,0.85242,0.00099763,0.00099763,0.00099763
3,88.6286,0.78594,1.60032,0.884,0.55971,0.70793,0.63163,0.48741,0.72252,1.38248,0.85783,0.00133366,0.00133366,0.00133366
4,117.41,0.77601,1.49099,0.89992,0.49129,0.7734,0.65243,0.51395,0.72481,1.03301,0.87358,0.0011719,0.0011719,0.0011719
5,145.901,0.80539,1.48028,0.88955,0.56298,0.74964,0.68882,0.53727,0.7013,1.03092,0.86956,0.00100687,0.00100687,0.00100687
6,176.018,0.7441,1.39297,0.89303,0.52242,0.71586,0.69303,0.53398,0.71944,0.98529,0.86908,0.000841835,0.000841835,0.000841835
7,205.244,0.74205,1.37061,0.87753,0.58005,0.79221,0.72202,0.5656,0.70149,0.938,0.86367,0.000676802,0.000676802,0.000676802
8,234.816,0.73815,1.30973,0.89528,0.58695,0.7846,0.71592,0.56198,0.68181,0.95077,0.86168,0.000511769,0.000511769,0.000511769
9,264.656,0.7247,1.33126,0.87908,0.57467,0.77173,0.6905,0.54935,0.65259,1.03214,0.85666,0.000346736,0.000346736,0.000346736
10,293.935,0.70996,1.30022,0.87927,0.5725,0.78952,0.69589,0.55236,0.65484,0.95862,0.85672,0.000181703,0.000181703,0.000181703
