epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0809,0.63248,1.16666,0.86075,0.71693,0.73937,0.77661,0.64388,0.69288,1.03924,0.91632,0.000551581,0.000551581,0.000551581
2,60.3213,0.78972,1.31822,0.90874,0.64378,0.63942,0.6941,0.55669,0.75544,1.15117,0.92276,0.00099763,0.00099763,0.00099763
3,89.6026,0.81327,1.30172,0.88989,0.66777,0.74096,0.74392,0.58981,0.73517,1.06667,0.91027,0.00133366,0.00133366,0.00133366
4,118.626,0.75353,1.21233,0.90204,0.5516,0.76611,0.69562,0.5503,0.76392,1.15679,0.93626,0.0011719,0.0011719,0.0011719
5,147.734,0.82238,1.2245,0.92184,0.54041,0.61284,0.65242,0.52045,0.75628,1.16319,0.96561,0.00100687,0.00100687,0.00100687
6,178.472,0.76138,1.18807,0.91471,0.64598,0.63543,0.73016,0.58683,0.72836,1.0415,0.95485,0.000841835,0.000841835,0.000841835
7,207.549,0.75015,1.23138,0.8823,0.72614,0.71317,0.77149,0.62559,0.7422,1.0138,0.9401,0.000676802,0.000676802,0.000676802
8,236.943,0.73453,1.09809,0.90406,0.71865,0.73939,0.77062,0.62324,0.7281,0.99901,0.94247,0.000511769,0.000511769,0.000511769
9,266.64,0.72308,1.09622,0.88772,0.69289,0.73151,0.756,0.60232,0.73206,0.95866,0.95985,0.000346736,0.000346736,0.000346736
10,296.388,0.71828,1.05,0.90729,0.65425,0.77101,0.76097,0.61481,0.70703,0.95286,0.94462,0.000181703,0.000181703,0.000181703
