epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6199,0.80443,1.83985,0.8746,0.51608,0.77402,0.66873,0.52831,0.70242,1.24244,0.86775,0.000551581,0.000551581,0.000551581
2,41.7008,0.80791,1.67479,0.89502,0.61869,0.72629,0.72098,0.5741,0.74259,1.35422,0.88409,0.00099763,0.00099763,0.00099763
3,62.3925,0.82951,1.62459,0.88692,0.51366,0.67451,0.6215,0.4799,0.84555,1.33728,0.90498,0.00133366,0.00133366,0.00133366
4,82.2142,0.84061,1.63094,0.91083,0.63502,0.68054,0.68567,0.5367,0.78696,1.21918,0.90295,0.0011719,0.0011719,0.0011719
5,103.135,0.87315,1.55865,0.90381,0.51477,0.72782,0.6646,0.52031,0.78157,1.2861,0.90613,0.00100687,0.00100687,0.00100687
6,123.695,0.80218,1.50937,0.88949,0.60986,0.70735,0.684,0.53444,0.74418,1.22026,0.903,0.000841835,0.000841835,0.000841835
7,143.457,0.81128,1.48059,0.89471,0.54624,0.65023,0.61504,0.47841,0.77298,1.32827,0.90653,0.000676802,0.000676802,0.000676802
8,163.853,0.73066,1.33589,0.8901,0.57702,0.74993,0.67466,0.54514,0.70132,1.14029,0.88334,0.000511769,0.000511769,0.000511769
9,185.613,0.79772,1.41342,0.88186,0.61227,0.73716,0.69313,0.55963,0.68788,1.13896,0.87677,0.000346736,0.000346736,0.000346736
10,206.064,0.70903,1.34971,0.89743,0.61613,0.70268,0.68778,0.55629,0.68631,1.0958,0.87654,0.000181703,0.000181703,0.000181703
