epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2418,0.59541,1.17112,0.83263,0.62663,0.75343,0.70021,0.53319,0.76072,1.17848,0.85751,0.000551581,0.000551581,0.000551581
2,60.6993,0.74566,1.35696,0.86038,0.54468,0.74373,0.70732,0.54275,0.73148,1.13876,0.85513,0.00099763,0.00099763,0.00099763
3,89.369,0.78786,1.43535,0.88498,0.56744,0.70064,0.68936,0.51138,0.80425,1.17403,0.87804,0.00133366,0.00133366,0.00133366
4,118.226,0.78708,1.3947,0.89555,0.59338,0.70635,0.71014,0.54336,0.73089,1.15639,0.878,0.0011719,0.0011719,0.0011719
5,147.518,0.80612,1.45298,0.87827,0.46246,0.71327,0.68152,0.53668,0.69657,1.08412,0.8636,0.00100687,0.00100687,0.00100687
6,178.123,0.75736,1.3079,0.88539,0.58098,0.61731,0.64409,0.53272,0.66991,0.98973,0.86415,0.000841835,0.000841835,0.000841835
7,208.737,0.74065,1.31986,0.87145,0.55849,0.63472,0.64967,0.53065,0.67101,1.00485,0.86358,0.000676802,0.000676802,0.000676802
8,238.426,0.71125,1.23772,0.88991,0.55653,0.65956,0.66958,0.54743,0.65492,0.93223,0.86031,0.000511769,0.000511769,0.000511769
9,268.632,0.72567,1.26031,0.87647,0.56103,0.67287,0.67067,0.54674,0.64915,0.98606,0.85735,0.000346736,0.000346736,0.000346736
10,298.684,0.68809,1.2109,0.87014,0.57855,0.67226,0.68294,0.55617,0.64242,0.94278,0.8558,0.000181703,0.000181703,0.000181703
