epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9955,0.54574,0.90848,0.80447,0.62602,0.78965,0.70398,0.54487,0.70255,1.01862,0.84678,0.000551581,0.000551581,0.000551581
2,60.4668,0.73111,1.25581,0.84712,0.52595,0.77188,0.62518,0.47787,0.71287,1.21951,0.85063,0.000888013,0.000888013,0.000888013
3,89.3846,0.75506,1.40324,0.87944,0.53634,0.78232,0.6285,0.47411,0.72487,1.25615,0.85423,0.0010044,0.0010044,0.0010044
4,118.429,0.82308,1.48261,0.9037,0.56902,0.73366,0.68902,0.52711,0.70024,1.11142,0.85494,0.000676802,0.000676802,0.000676802
5,147.143,0.78364,1.27572,0.91106,0.60761,0.801,0.68405,0.53456,0.69027,0.98186,0.85427,0.000346736,0.000346736,0.000346736
