epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6364,0.73335,1.46294,0.86687,0.69429,0.76365,0.77842,0.61045,0.71305,1.03795,0.86363,0.000551581,0.000551581,0.000551581
2,40.4744,0.77736,1.43689,0.89002,0.56642,0.69687,0.70086,0.53157,0.76241,1.31941,0.90061,0.000888013,0.000888013,0.000888013
3,61.1459,0.85147,1.37834,0.93134,0.60796,0.68272,0.66631,0.52744,0.73731,1.17426,0.88468,0.0010044,0.0010044,0.0010044
4,81.7843,0.82758,1.46915,0.91492,0.66037,0.79445,0.7352,0.58112,0.72987,1.05176,0.87454,0.000676802,0.000676802,0.000676802
5,101.911,0.82779,1.4284,0.89909,0.6786,0.77798,0.76013,0.5967,0.716,1.0387,0.87447,0.000346736,0.000346736,0.000346736
