epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.114,0.55278,0.95032,0.80673,0.62717,0.78703,0.67207,0.51101,0.74582,1.13951,0.8603,0.000551581,0.000551581,0.000551581
2,60.0862,0.68676,1.53044,0.84025,0.67791,0.72314,0.7146,0.53958,0.73961,1.30278,0.85831,0.000888013,0.000888013,0.000888013
3,88.5189,0.73555,1.32981,0.86528,0.59793,0.63485,0.62112,0.46789,0.78336,1.41804,0.8662,0.0010044,0.0010044,0.0010044
4,117.333,0.80222,1.4094,0.89146,0.56898,0.75858,0.67212,0.51619,0.74115,1.06416,0.84907,0.000676802,0.000676802,0.000676802
5,146.323,0.82017,1.39454,0.9092,0.64708,0.73269,0.65972,0.5247,0.70197,1.06665,0.84502,0.000346736,0.000346736,0.000346736
