epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0579,0.65915,1.22681,0.84592,0.66461,0.71049,0.739,0.57921,0.72401,1.12155,0.87843,0.000551581,0.000551581,0.000551581
2,44.172,0.80334,1.49041,0.89198,0.6727,0.73802,0.74071,0.56721,0.79759,1.24499,0.90374,0.00099763,0.00099763,0.00099763
3,65.8258,0.8157,1.49588,0.90541,0.5432,0.61539,0.61882,0.48707,0.72669,1.54663,0.89839,0.00133366,0.00133366,0.00133366
4,86.655,0.7876,1.39481,0.90682,0.56362,0.69232,0.62665,0.49785,0.71658,1.16025,0.8976,0.0011719,0.0011719,0.0011719
5,107.576,0.82681,1.42199,0.90139,0.56125,0.73581,0.68563,0.53108,0.73825,1.27738,0.9023,0.00100687,0.00100687,0.00100687
6,127.888,0.75989,1.32805,0.88898,0.61534,0.72994,0.71482,0.55811,0.70754,1.06137,0.89705,0.000841835,0.000841835,0.000841835
7,148.796,0.79059,1.35079,0.89171,0.60639,0.69091,0.72242,0.56067,0.74255,1.08728,0.90382,0.000676802,0.000676802,0.000676802
8,169.786,0.72649,1.20357,0.8895,0.55643,0.73719,0.72956,0.57942,0.7023,1.0652,0.89115,0.000511769,0.000511769,0.000511769
9,190.749,0.78666,1.23382,0.88452,0.61842,0.73423,0.74759,0.59665,0.68037,1.02317,0.8822,0.000346736,0.000346736,0.000346736
10,212.29,0.71119,1.22928,0.90331,0.57428,0.7711,0.74105,0.59358,0.6772,1.02099,0.88402,0.000181703,0.000181703,0.000181703
