epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0954,0.62379,1.04362,0.85668,0.57037,0.65938,0.65335,0.5275,0.69921,1.19658,0.89181,0.000551581,0.000551581,0.000551581
2,59.9687,0.784,1.26289,0.89252,0.59063,0.6904,0.57816,0.46229,0.80456,1.52784,0.91394,0.000888013,0.000888013,0.000888013
3,89.1804,0.83399,1.60413,0.88827,0.54046,0.63115,0.59388,0.4693,0.80788,1.4346,0.91622,0.0010044,0.0010044,0.0010044
4,117.478,0.81111,1.42328,0.89987,0.63627,0.70056,0.70509,0.56698,0.74411,1.16895,0.91851,0.000676802,0.000676802,0.000676802
5,146.781,0.83706,1.42158,0.9282,0.66658,0.72353,0.71955,0.5819,0.72424,1.01739,0.9131,0.000346736,0.000346736,0.000346736
