epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6545,0.51469,0.66987,0.83075,0.5926,0.7847,0.74392,0.6211,0.68548,1.05812,0.9006,0.000551581,0.000551581,0.000551581
2,62.2575,0.67439,0.89103,0.86966,0.4009,0.60462,0.52712,0.42667,0.77633,1.70474,0.96354,0.00099763,0.00099763,0.00099763
3,91.5545,0.73698,1.07447,0.87161,0.63467,0.65987,0.61107,0.48806,0.79354,1.33607,0.95182,0.00133366,0.00133366,0.00133366
4,121.018,0.73669,1.06614,0.88943,0.62873,0.74006,0.68496,0.54741,0.73162,1.1109,0.91362,0.0011719,0.0011719,0.0011719
5,149.659,0.75978,1.07466,0.89003,0.57424,0.59188,0.6087,0.49727,0.74289,1.18626,0.96297,0.00100687,0.00100687,0.00100687
6,180.716,0.71846,1.01813,0.8829,0.64457,0.73838,0.74004,0.60211,0.71802,0.97842,0.92928,0.000841835,0.000841835,0.000841835
7,210.038,0.73049,1.05111,0.86135,0.69266,0.77103,0.77714,0.63245,0.71385,0.93052,0.92087,0.000676802,0.000676802,0.000676802
8,239.948,0.69486,0.94135,0.88087,0.69036,0.78138,0.74831,0.60812,0.70742,0.90383,0.91461,0.000511769,0.000511769,0.000511769
9,270.103,0.70574,0.97375,0.87309,0.6782,0.75906,0.73532,0.6015,0.70067,0.91829,0.90803,0.000346736,0.000346736,0.000346736
10,300.873,0.68778,0.93456,0.88082,0.66244,0.77241,0.75432,0.61953,0.68123,0.90371,0.89887,0.000181703,0.000181703,0.000181703
